,Aruba,Afghanistan,Angola,Albania,Andorra,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
2021,,,483311322887.493,547810915300.0,,,145005298300,1948009888195.06,360000000.0,,459256000000,211496790000.0,,201269937232.85,397144700000.0,2654285627000,,3021772000000.0,69107881000.0,,2731350000.0,14044238000.0,59339249800.0,2274000000.0,2986100000.0,11435209077.2648,531571785800.0,,13843149776.8068,19602820000.0,95961026366.7263,110506366100.0,634037942000,492611620000.0,,51281691390497.0,,8674441400300.0,3760881015300,4364947181100.0,2913594000000,118698656118607,54466744300.0,36324948100.0,12856694735757.9,7566400000.0,,,19646517000.0,4312153000000.0,1572545900000.0,,,1345837508000.0,630333933889.81,5179588314900,19446416000.0,479053200000,,383579000000.0,21778235000.0,147402767900.0,90084000000.0,,686575629000,,,2933372877800,538318283000.0,15779600000.0,47121060000.0,,47294058944900.0,6924000000.0,,3354395000000.0,68253158000,,,107695264200,177000000.0,,5518555087000.0,115116600000,208639232247.218,43775000000.0,38737102000000.0,2592682335431000,,31748439886700,573451813000.0,2222191325841350,109026920323700.0,1066353585000.0,482344017000.0,537668600000.0,311150196000.0,8991639068.28407,102456900000000.0,4544785155876.35,1060427100000,110360059200.0,69702687584900.0,,,849146700000000,,,9472964583900.0,,,,,2162507428100.0,,42253146000.0,129913589000.0,18432605000.0,214346000000.0,,351399125900.0,,54453283609.8161,7143520918400.0,59462034500.0,6797376747000,96726300.0,320528000000.0,952144393100.0,20102400000.0,21360169776200.0,1590795000.0,11638734981000.0,,166187908200.0,78247707700.0,178356268700.0,,958334000000,44808914062.5,,816097615500.0,10278221585200.0,87758109344.8009,661570630000.0,1248979000000.0,135321435500.0,,64214686000.0,17698102700.0,3945411000000.0,23042827000.0,142005000000,5128006174500,,,1268815000000.0,,,82673543000.0,69868783512500,2775000000.0,,,259199700000.0,24532475549700.0,1951158000000,1080137524630.76,200183200.0,3241893831400,932600100000,3004491300.0,2284921000000.0,7847501606.0,,,3130938800000.0,,,,87730976000.0,41025892000.0,2240645000000,19741148400,,14066135000.0,,,2376649900000.0,,6891770000000,,,1432990235.25536,106733000.0,,32552000000.0,480729002300.0,,16906146998800.0,20444239242200.0,1091684608000.0,478039170300,2257272052000.0,30666176784400.0,,,,,5245050145500000.0,7500000000.0,248220850.702353,2520118000.0,,1179748214456.06,,48967455600.0
2020,,,437682882397.549,373900816700.0,,1397587200000.0,132767365400,1670677434129.55,494000000.0,,501201000000,192984410000.0,,170279134714.76,356955000000.0,1729426885900,,2767407000000.0,62257249000.0,10191740000.0,2283940000.0,11272008000.0,49077562700.0,1683000000.0,2985000000.0,9907296737.76509,502482128700.0,,12727771600.0,17997170100.0,72260679536.8194,116946112500.0,625325521000,438277317000.0,,52073422498498.0,,8365648753000.0,3635926653800,4032961739100.0,3317620000000,103373000000000,36758665400.0,34145354500.0,10959092994092.2,8325000000.0,,,17302022000.0,4033991000000.0,1433395110000.0,592945141200.0,,1246272667000.0,462911076501.94,4555486644600,19471230000.0,553100000000,,335359000000.0,18157591000.0,123918083500.0,85435000000.0,,631206497000,,,2961882375200,539941331000.0,12687740100.0,27869336200.0,,24800854531100.0,6632000000.0,98588028100.0,3211578000000.0,54996633000,,4779000000.0,96431598400,348000000.0,,4717285000000.0,94765200000,153014115722.773,43176877700.0,35135277000000.0,2090273355120100,,25536829491000,502735728000.0,2112807492092400,109799408865200.0,945971365000.0,421020194000.0,474009700000.0,246944600000.0,6883306925.13431,91661900000000.0,4455671721447.4,938956300000,88612496900.0,61431328661400.0,24003300.0,,766065700000000,,,8376952701700.0,,6300757200.0,,,1961325208100.0,7203010700.0,36111945000.0,118447939000.0,17402782000.0,125151000000.0,,345802906454.271,,46329404405.1344,6398387145800.0,31383819400.0,6358233775000,78672000.0,285529000000.0,961762013200.0,18438300000.0,26048987532000.0,874733000.0,13634029621000.0,,154661507800.0,88644287200.0,159923776000.0,,830157000000,45874046875.0,,765047866000.0,15136100851700.0,74386380660.1527,628597418000.0,1192812000000.0,171457941800.0,,63332293000.0,15499441500.0,3703874000000.0,19103552000.0,121282000000,4749668274700,,,1128317000000.0,,,72868303000.0,68360907785200,2335900000.0,,359484845200.0,230333900000.0,23702874927200.0,1897124000000,1058967000000.0,182396400.0,2825422041400,873199300000,3213900000.0,2242707000000.0,6222982640.0,1903768820.32222,,2619780200000.0,,,,79304683000.0,35830448000.0,2076769000000,17957017600,,12526176800.0,68813000000.0,,2385223627800.0,947583600000.0,6243357000000,,,1324188755.94894,208675000.0,,29111000000.0,384909792200.0,,16542218198400.0,20396167627000.0,1218398000000.0,417829025200,2128424131000.0,27218869870200.0,,,,2291000000.0,4606983000000000.0,12859000000.0,573457590.72236,1425736400.0,,1072626605417.23,,34697437000.0
2019,,,469113485956.644,518309246700.0,,1503185500000.0,161344337000,2512296893400.0,448000000.0,,509629000000,215991380000.0,,200092990264.12,375842600000.0,2304827101700,2298247412100.0,3354530000000.0,69457411000.0,10458250000.0,4151960000.0,13394743000.0,52730337900.0,2399000000.0,3293000000.0,12201082898.6203,511916257600.0,,11837043300.0,22558460400.0,88242976671.9064,120365712200.0,684858072000,462193436000.0,,52666441947104.0,,8943096000000.0,4245647328000,3734347639300.0,3731044367500,133731000000000,67978298200.0,82432828900.0,12305174793963.3,10478000000.0,,,16927169000.0,4386247000000.0,1579929410000.0,843505990800.0,,1330164187000.0,664326055897.453,5159101522800,20582165000.0,706100000000,,418896000000.0,19168316000.0,130990190100.0,91624000000.0,,758959403000,,,2691800756200,614154747000.0,20339835500.0,56481199200.0,,27121922183500.0,12325991600.0,115480139600.0,3377189000000.0,70077581000,,5093000000.0,104463288900,1342000000.0,,5054948901412.31,119696800000,199367093984.275,71618262600.0,37436725000000.0,2275488258429200,,28136093812200,452228016000.0,2423752424308370,122183744979200.0,1348910713000.0,432862311000.0,548130500000.0,352778000000.0,10634326735.5785,103927000000000.0,5023305210200.0,1029821900000,121846847300.0,69240451708400.0,36131800.0,,779368000000000,22905598500.0,,18109835209200.0,,13280746600.0,,,2784365536600.0,8735739300.0,35967127000.0,118186012000.0,17463009000.0,361722000000.0,,406766153473.961,,51245051388.1428,10097783576700.0,64516130600.0,6858843380000,82591000.0,320447000000.0,956977127600.0,19158400000.0,24119432900000.0,1670733000.0,14391699250800.0,432000000.0,211782279300.0,96993177200.0,221178594700.0,,907877000000,55439476562.5,,816250662400.0,22710351032700.0,81681374836.4276,657057163000.0,1207603000000.0,203830600500.0,,76888762000.0,18155500000.0,3648583000000.0,24065319000.0,148314000000,5664043029500,,,1140727000000.0,,,89554027000.0,75132117244600,2630500000.0,,365127370600.0,254426200000.0,24716240800000.0,2088842000000,1179770640555.45,173710800.0,3254962657200,875365700000,4112300000.0,2487401000000.0,7872874282.0,2050050526.74149,,2735279400000.0,,,,84683229000.0,39201988000.0,2196577000000,18398812500,,19478196400.0,46779000000.0,,2359271600000.0,993932600000.0,7773333000000,,,430680199.782136,220821000.0,,36407000000.0,449440246900.0,,18099200876300.0,20637631927500.0,1293554000000.0,497458752500,2453092775000.0,34035949201900.0,,,,2785000000.0,4427126000000000.0,42384000000.0,721436851.408549,2010698800.0,,1216997949494.19,,57633903700.0
2018,,,568038337367.741,504998541800.0,,1523588992900.0,147009411900,2165773184000.0,473000000.0,,490478000000,207714480000.0,,201060129700.0,367073400000.0,2122024107000,2343397246400.0,3009722000000.0,66802361000.0,10418570000.0,4074210000.0,13298503400.0,56284633400.0,2277000000.0,3404630700.0,12427219632.9175,525373279300.0,,10303756000.0,19719840700.0,94977777263.1195,118060788600.0,676184459000,465349385000.0,,54043958076078.0,,7589790000000.0,3817240187300,3681237149900.0,3474788053800,129730000000000,63627949900.0,75826451400.0,11802226449041.8,10983000000.0,,,15568853000.0,4322317000000.0,1560192710000.0,772336190500.0,,1272750196000.0,654272839748.224,5494250823000,19858209000.0,722100000000,,409822000000.0,18064594000.0,139025660400.0,85891000000.0,,746869575000,,,2361176826500,603798488000.0,18528400000.0,50101713900.0,,25366079899700.0,13786616100.0,106243138100.0,3905025000000.0,66812928000,,5686000000.0,104246235700,1143000000.0,,5387974797126.03,116870300000,186683192560.056,67051291800.0,35511194000000.0,2286394893098000,,29124804826200,404323528000.0,2930363408487000,116766655195000.0,1414966528000.0,417490559000.0,539639100000.0,340420000000.0,9989552008.42831,105465200000000.0,4924809029600.0,1063400800000,104818276300.0,61115759687900.0,21012500.0,,777514900000000,25464840100.0,,18275716251600.0,,15265226000.0,,,2737710033000.0,10080457000.0,32677438000.0,113071287000.0,17096127000.0,369936000000.0,,386928336785.693,,47358610139.4489,9104304482800.0,60473625800.0,6759545931000,73815900.0,294321000000.0,935461512800.0,17906600000.0,21663321200000.0,1579135000.0,12852368467300.0,577000000.0,233910880900.0,83080018400.0,230503458700.0,,917462000000,60750355468.75,,807309023200.0,19752313189700.0,77321015857.2548,644300690000.0,1194019000000.0,193124717900.0,,77080265000.0,17810600000.0,3223918000000.0,23772191000.0,147829000000,5518572505300,,,1082928000000.0,,,86047350000.0,77783933896900,2578700000.0,,373322000000.0,241486600000.0,24536500000000.0,1742377000000,1241822855995.81,162498400.0,2837925812600,872708700000,4232600000.0,2528410000000.0,7255249932.0,2040426437.8741,,2540473300000.0,,,,84020715000.0,37520383000.0,2072751000000,15822383800,1532124100.0,18893125400.0,42259000000.0,,2225728000000.0,973690000000.0,8009911000000,,,37404268.883899,228377000.0,,38012000000.0,431234576100.0,,15210686321900.0,19783481729600.0,1205551000000.0,479960132400,2441609870000.0,29293904507000.0,,,,2495000000.0,4167255000000000.0,38290000000.0,592509431.466477,1869483600.0,12738533300.0,1260422229547.47,,51332752300.0
2017,,,614853079777.996,485455287300.0,,1366435326100.0,146065832100,2062641127600.0,417000000.0,,471095000000,197450190000.0,,181135170400.0,363161000000.0,2020975340000,2034239492000.0,2836526000000.0,65662020000.0,10089490000.0,3659040000.0,12423295400.0,49834300000.0,2073000000.0,3216427400.0,11814068342.3381,504908899100.0,,10018544100.0,18856231200.0,84890714126.6758,246248000000.0,652162588000,450165900000.0,,51526796982965.0,,7596187000000.0,3737652000000,3222242282100.0,3120215747600,128902000000000,53362202400.0,67894346300.0,11251900411085.4,11248000000.0,,,14520479000.0,4167821000000.0,1526256960000.0,703012357700.0,,1231465613000.0,616919048279.495,5705348725800,19631647000.0,548900000000,,402862000000.0,17555641000.0,131891509000.0,84619000000.0,,714523215000,,,2329554974900,585360345000.0,16835300000.0,46992508800.0,,25454977695900.0,9560442400.0,88224539400.0,4139402000000.0,61230184000,,5488000000.0,104633465000,1140000000.0,,5196853753497.41,115293200000,180067776504.024,71741953400.0,33825157000000.0,2146564516832600,,26020117980600,368221786000.0,3064568199256700,109880613572500.0,1391576886000.0,394905443000.0,528322500000.0,314537000000.0,9906953749.12371,101643800000000.0,4493438895700.0,995953800000,107743856100.0,53525248443000.0,25248400.0,,747783500000000,25555200000.0,,19174161636700.0,,12509209700.0,,,2598062655200.0,9522361300.0,30595147000.0,109129945000.0,16374803000.0,336829000000.0,,372707097711.118,,44182485021.9056,8886644106100.0,54746910900.0,6376708396000,69652500.0,260911000000.0,936397910700.0,17980800000.0,19350802500000.0,1477280000.0,12116803166500.0,968000000.0,158173925800.0,81628974000.0,227698991600.0,,900064000000,52332351562.5,,843193483100.0,20034932939800.0,78591948597.5769,617557871000.0,1208812000000.0,179327034900.0,,74956809000.0,17323300000.0,2929753000000.0,22577100000.0,143019000000,4935390133100,,,1014371000000.0,,,82631830000.0,78093586713500,2515600000.0,,377672533700.0,229288300000.0,23245400000000.0,1579502000000,1158852064171.87,151020900.0,2623115833400,811367300000,3984800000.0,3881920000000.0,7144411400.0,2016835537.1335,,2363191400000.0,,,,79927084000.0,35344789000.0,1988308000000,16417810500,1785692400.0,18515486700.0,49358000000.0,,2127847000000.0,954845000000.0,7750198000000,,,32069863.5919705,225485000.0,,36341000000.0,396305465700.0,,15480509738100.0,18080326851600.0,1222100000000.0,488365237500,2375064338000.0,26211408314500.0,,,,3133000000.0,3712366000000000.0,37006000000.0,615091096.975901,1714064500.0,8539280200.0,1226793874100.0,,52872871700.0
2016,,,493684702229.694,428682864100.0,,1401766298700.0,142343006000,1728953166500.0,534000000.0,,446547000000,188230640000.0,,137059015300.0,344323100000.0,1888762000000,1874096000000.0,2889793000000.0,62090471000.0,9730460000.0,3715410000.0,11109983700.0,46376700000.0,2109000000.0,3583066800.0,12432525000.0,481283677800.0,,10297094600.0,17713537000.0,89791012451.8352,200307000000.0,642872619000,451869232000.0,,52027116018775.0,,6905313000000.0,3797304000000,3001784086000.0,2726720408400,125673000000000,47732997200.0,63142209800.0,10520226595336.1,11248000000.0,,,13083600000.0,3887958000000.0,1454977680000.0,460912959600.0,,1174909933000.0,588358441385.309,6075983733600,19491882000.0,295038846200,,381819000000.0,16746445000.0,122501000000.0,77759000000.0,,684501706000,,,2242564000000,547863457000.0,15074500000.0,37961450900.0,,14233877262500.0,8723865300.0,107333259200.0,4301162120200.0,56427380000,,5704000000.0,103097210000,1122000000.0,,4907667176531.47,109938900000,168478145195.353,72200746000.0,31768035000000.0,1971182638190100,,24884225794000,335862635000.0,3049167400000000,110986197036200.0,1324306150000.0,376351000000.0,501081500000.0,299178000000.0,9644800531.67302,95333600000000.0,4160591570100.0,1006193800000,101528375900.0,50849699668600.0,33671600.0,,729684800000000,26835300000.0,46523150431000.0,18450296952800.0,,5472210700.0,,,2413223266200.0,9335744100.0,26951058000.0,109378078000.0,15396799000.0,288359000000.0,,336254445485.496,,39855500858.8439,6112029139600.0,50961474700.0,6121913068000,71776800.0,240811000000.0,840572630800.0,16542400000.0,17051191700000.0,1451251000.0,11685431905700.0,804000000.0,152250996100.0,76215984300.0,225535662600.0,,828155000000,51333777343.75,,735159283000.0,18424670814100.0,71363477689.8216,579868000000.0,1188612000000.0,164738904500.0,,72385810000.0,17464400000.0,2859095000000.0,21493751000.0,131443000000,4203846044600,,,930223000000.0,,,76224670000.0,71989966807500,2208300000.0,,372909975600.0,212766500000.0,22135600000000.0,1102177000000,1195645999223.61,138551200.0,2424708129100,755626900000,3789100000.0,3148991468000.0,6910047998.0,2042146621.25045,,2183472700000.0,,,,77088297000.0,31821725000.0,1909418000000,15701596700,2151436700.0,16863186300.0,37973000000.0,,2100540000000.0,961748000000.0,7368450000000,,,52618385.2530482,239332000.0,,34667000000.0,352555790200.0,,16137712526400.0,13609102123700.0,1175953000000.0,465340922000,2277844954000.0,22836920897900.0,,,,2485000000.0,3166102000000000.0,37419000000.0,570845941.744516,1428202600.0,15528706300.0,1230155100800.0,,50447995700.0
2015,,,604972582624.784,385019368600.0,,1355606821100.0,135156268600,1425352981400.0,540000000.0,,419672000000,182769300000.0,,129708753400.0,324215700000.0,1664382000000,1826311000000.0,2827676036700.0,57164722000.0,10006300000.0,3952780000.0,10158360600.0,45201480000.0,2316000000.0,3338401100.0,13186019406.7342,477165143500.0,,10496000000.0,18700678200.0,97991318673.6733,218269000000.0,633955000000,426381498000.0,,51717659747655.0,,7409581000000.0,3695428206600,3028300000000.0,2600024620800,125936000000000,43925040700.0,60453272500.0,9614776911212.26,14014000000.0,,,12202564000.0,3726148000000.0,1419906000000.0,615620931000.0,,1128511442000.0,547346417447.321,5678489470600,19218768000.0,347224436700,,362356000000.0,15975998000.0,133357769000.0,74845000000.0,,672558000000,,,2319018783300,530778000000.0,13866600000.0,36893894600.0,,10294513728400.0,10009558100.0,96971194400.0,4725201000000.0,56662309000,,4953000000.0,100721155000,1044000000.0,,4872494393133.25,108972600000,157388258842.408,71414000200.0,30603810000000.0,2004466985128700,,23702816363000,321083703000.0,2392950387254200,111954389844100.0,1193592662000.0,367609000000.0,491905000000.0,291293000000.0,10058168891.1696,93815400000000.0,4356640387500.0,1076940000000,105578607900.0,46815416898000.0,27618700.0,,712775700000000,26190700000.0,42118407386500.0,18716641069300.0,,7496560600.0,,,2301065193800.0,8314123000.0,25685490000.0,103864132000.0,14810943000.0,294014000000.0,,314820000000.0,,36314277809.1119,6172527417600.0,46785582300.0,5910189418000,81273100.0,220763000000.0,858005108500.0,15456700000.0,14608348664000.0,1369853000.0,10115841490300.0,453000000.0,162092929700.0,76556110400.0,225653047800.0,,817370000000,51648031250.0,,816895000000.0,16519693616300.0,68227762933.8134,570353000000.0,1176078000000.0,199214866300.0,,71277000000.0,17806700000.0,2905681926200.0,22468321000.0,117622000000,3849448264500,,,853380000000.0,,,72990707000.0,65945170548000,2244300000.0,,,182884000000.0,21455700000000.0,975969000000,1107102040993.83,142895300.0,2328144000000,755359100000,3422800000.0,2587115411600.0,6896026256.0,2007709565.96989,,1949407200000.0,1938322600.0,,,73395840000.0,29974299000.0,1864670000000,15148398400,2142865200.0,15458505100.0,39737000000.0,,2185811000000.0,901442282500.0,7175008000000,,,48508505.4485342,188145000.0,,34484000000.0,358805788000.0,,16138366765400.0,13083997737800.0,1197722000000.0,466073291600,2268651000000.0,21885180378700.0,,,,2063000000.0,2852242000000000.0,31303000000.0,503055490.864486,1293908000.0,18033500100.0,1225162455400.0,,41692285900.0
2014,,,709140522530.476,381323002600.0,,1288712931200.0,139017297400,1358773099600.0,503000000.0,,392752000000,177361300000.0,24031706700.0,150459127700.0,312582400000.0,2082974648600,1798446667300.0,2910029587900.0,53701575000.0,10091590000.0,3898350000.0,9253143600.0,44271060000.0,2373000000.0,3199330900.0,14015558200.0,446702014000.0,,11767000000.0,19314194800.0,105776617299.24,198445000000.0,612996642000,409888498000.0,,52952335059997.0,,7288386784700.0,3527221469700,2909088397300.0,2723491136600,123882000000000,42019602600.0,52681042200.0,9344867973535.89,14028000000.0,,,11202791000.0,3514162000000.0,1346638850000.0,607486139300.0,,1089534747000.0,531054824703.356,5650238279200,19342036000.0,347360336700,,347363000000.0,16219710000.0,150209350200.0,74553000000.0,,642698736000,,,2134216996000,510424502000.0,13313800000.0,31365052400.0,,11327423474500.0,10410319200.0,82740484600.0,5050373953800.0,53954764000,,5498000000.0,97941839000,1061000000.0,,4939457890737.02,105901600000,142691053319.261,67238444000.0,28504356000000.0,2047887100952700,,25121446363800,230720335000.0,2174019713699000,83264514544100.0,1095563856000.0,374124719000.0,471742600000.0,277936000000.0,11096404940.3797,90896500000000.0,4542899257000.0,1101000000000,111881354300.0,43665966364400.0,20538900.0,,711110300000000,26420000000.0,39491436997400.0,17027003479000.0,,6875258900.0,,,2198595884400.0,7016372600.0,25078418000.0,98787058000.0,14383235000.0,400382000000.0,,301768000000.0,,35404114474.3891,6212405355400.0,51916000000.0,5451480252000,81991200.0,203514000000.0,777178540300.0,13389600000.0,12595962701700.0,1295455000.0,10103548363800.0,411000000.0,173767199200.0,74619000000.0,220458101200.0,,815309997000,58672988281.25,,857254504500.0,16505092006000.0,68905838621.1304,531085590000.0,1127135000000.0,194705526500.0,,67089339000.0,18032700000.0,3102489212900.0,22260019000.0,112814000000,3500548489200,,,800625000000.0,,,68689679000.0,63897671026100,2319600000.0,,,174869400000.0,20695500000000.0,918516000000,1099543946832.33,145811500.0,2128837000000,719611000000,3659400000.0,5760584438400.0,6677020000.0,,,1783932400000.0,4064480000.0,,,68823053000.0,28617469000.0,1762447000000,15310169900,2155800000.0,14509726300.0,41590000000.0,,1691803900000.0,918430695500.0,7086417000000,,,67633042.4369903,174400000.0,,37963737600.0,347549364600.0,,15923654179000.0,13401598910700.0,1379312000000.0,468886446300,2262517565000.0,21430811601900.0,,7444336000.0,,3228000000.0,2504913000000000.0,29852000000.0,497017822.44154,1270487500.0,78340921200.0,1188788221100.0,,28092407100.0
2013,,,704178652110.396,376977204500.0,,1265900203300.0,149447487800,1277042386800.0,481000000.0,,370258000000,172383550000.0,24298331600.0,152918904000.0,297140700000.0,1667144065100,1687693389400.0,2819764710400.0,52075486000.0,10519490000.0,4122880000.0,8883326000.0,42337887200.0,2349000000.0,,12641951800.0,453825626000.0,,11667000000.0,20393162400.0,104569653701.557,174509000000.0,576543167000,431617191000.0,,52709123394388.0,,6892197573300.0,3170844388400,2396542646400.0,2553165060600,124241000000000,39246318900.0,53334251300.0,8902898189249.44,14438000000.0,,,10539628000.0,3232471000000.0,1285014930000.0,568314663600.0,,1056479069000.0,488394210155.82,5638960358500,18210280000.0,390032928900,,332321000000.0,15802451000.0,146086972100.0,76037000000.0,,622333368000,,,2125775881100,504720572000.0,13287700000.0,31668071200.0,,10625496446900.0,9387777300.0,80742720900.0,5025372974000.0,49843964000,,4917000000.0,91596629000,1065000000.0,,4893595500988.5,102460500000,132938739530.93,64138913800.0,26103420000000.0,2026113681046500,,24682689168400,201338946000.0,1951160735065600,74693444322300.0,1054555723000.0,370838827000.0,459719900000.0,275285000000.0,10509205658.8015,83130600000000.0,4659383853400.0,1081000000000,119303541700.0,39239787454800.0,19107600.0,,696514400000000,26054100000.0,36896161030500.0,18320353265700.0,,15156964300.0,,,2108710525300.0,7799057600.0,25544003000.0,92743745000.0,13534401000.0,418977000000.0,,253264321700.0,,35075948804.3711,4457956923200.0,,5095679696000,73202100.0,174721000000.0,760519616000.0,12943000000.0,11473371878600.0,1304789000.0,6596447242800.0,395000000.0,140059402300.0,72647058400.0,208536337300.0,,776187945300,53107636718.75,,861584394200.0,13301436865100.0,64731625022.6377,507990265000.0,1090010000000.0,165234584800.0,,64107825000.0,17965900000.0,3149101465000.0,23951343000.0,117274000000,3121668592100,,,758786000000.0,,,65855565000.0,66769301748400,2117300000.0,,,161116600000.0,20590400000000.0,856500000000,1120325115589.15,84774100.0,2034515143400,694471400000,4126100000.0,3589986463100.0,6470032380.0,,,1710197600000.0,2660000000.0,,,66370366000.0,26994904000.0,1688718000000,13712519500,2050800000.0,13021898100.0,48628000000.0,,1602087000000.0,998071512000.0,7062020000000,3143906900.0,,87284666.2194719,171125000.0,,36598706200.0,324576098400.0,,14674503355200.0,13401292575900.0,1670313000000.0,452965660300,2177934144000.0,23066618563300.0,,7808034000.0,,2741000000.0,2225003000000000.0,30000000000.0,,1195001500.0,81687569200.0,1146966538900.0,,27043348000.0
2012,,,712543202224.487,371080748100.0,,1193193029800.0,154900352500,1175913800000.0,483000000.0,,351587000000,171286200000.0,23939243000.0,191620673400.0,296096500000.0,1358358942200,1412859278100.0,2752281940600.0,47502462000.0,10589780000.0,4087430000.0,8236245900.0,49575980800.0,2377000000.0,,12144641300.0,445668576000.0,,12369000000.0,19633028300.0,74869925868.8057,232124000000.0,562696482000,378041322000.0,,51144032857744.6,,7907337117200.0,3070861334600,2197222992730.27,2741768100400,118690000000000,35420865400.0,53021148600.0,8617525931364.11,14191000000.0,,,10422646000.0,3224098000000.0,1272235780000.0,,,1039724940000.0,447869194906.914,5979809500000,17756018000.0,373181332000,,318381000000.0,15372031000.0,145686095200.0,75604000000.0,,609290221000,,,2133083386600,503675115000.0,11332600000.0,32852373300.0,,12142903678900.0,9254000000.0,69130258700.0,5437726000000.0,48968709000,,4803000000.0,85875006000,1004000000.0,,4538767170605.87,103790100000,129720443788.648,55033342600.0,25074611000000.0,1945063702941100,,22898359840400,195494184000.0,2000040764628600,75000769938300.0,987367256000.0,353643816000.0,458006100000.0,262787000000.0,11001289280.7808,82462200000000.0,4536887880600.0,1086000000000,106200213200.0,34414182995600.0,20806900.0,,670885000000000,27137700000.0,30911145113600.0,17720077094100.0,,19896304400.0,,,1977477900900.0,8338475600.0,23812866000.0,87233904000.0,13445752000.0,370317000000.0,,253313930600.0,,31137070664.771,4031344638500.0,,5026786469000,73832000.0,164685000000.0,754291875800.0,12821300000.0,11997691886000.0,1322502000.0,5845869267600.0,379000000.0,137623511700.0,71800785400.0,221681761300.0,,774180898700,51661566100.0,,790916510800.0,16995712961900.0,62352524403.7356,495704829000.0,1109709000000.0,146292898300.0,,64021067000.0,16260000000.0,2772564121600.0,24870270000.0,117940000000,3061251469000,,,722185000000.0,,,61431108000.0,58773223487500,2027800000.0,,,133620100000.0,19692100000000.0,720455000000,1118328817631.26,52329700.0,2092710940500,654298500000,4351000000.0,2614570113200.0,6086103730.0,,,1448730900000.0,1333000000.0,,,62607473000.0,26192850000.0,1707548000000,13572829100,1963200000.0,11416167000.0,69985000000.0,,1856416000000.0,928195273900.0,6888812000000,3493229000.0,,115003224.281008,150299000.0,,35099356600.0,309318489000.0,,15183222237100.0,12530785933000.0,1804209000000.0,453243851700,2115086222000.0,20853122084400.0,,8321442000.0,,3278000000.0,1888500000000000.0,28876000000.0,,1212893000.0,86657279200.0,1105691363600.0,,30688021100.0
