,Aruba,Afghanistan,Angola,Albania,Andorra,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
2021,,,144926635800.152,769293786000.0,,,166637561100,2204134285488.31,704000000.0,,370208000000,205920480000.0,,1027439551213.85,390987700000.0,3198485818300,,4835057000000.0,75165808000.0,,4878900000.0,19498365000.0,54827333900.0,2511000000.0,1572500000.0,13105316790.4142,484501788200.0,,11317320497.7693,32482810000.0,91960947555.6399,237458888500.0,711980283000,383487244000.0,,63274778888699.8,,10043849663000.0,4896071360100,10684822832200.0,1350493000000,206929683499217,155896554200.0,89141905400.0,11637428815694.6,8245700000.0,,,19235322000.0,4213990000000.0,1395821370000.0,,,1205708650000.0,852476822891.616,3831903154600,20638216000.0,843374480000,,368898000000.0,22446726000.0,386070729100.0,90445000000.0,,731990175000,,,4117858684600,552984375000.0,23663400000.0,51174450000.0,,50053107497600.0,33682000000.0,,2115780000000.0,77830061000,,,201857502800,3455000000.0,,5410867731000.0,152216300000,213627317700.735,237439000000.0,37989064000000.0,2101351669364500,,38781933008700,386820917000.0,1284783460317590,53486229324482.9,1139816231000.0,465134422000.0,504779900000.0,372314979200.0,14797284736.6757,101128500000000.0,5250275405754.2,2057942100000,259171286800.0,88109494581500.0,,,729824900000000,,,19076870550500.0,,,,,2959641073900.0,,38794358000.0,110052456000.0,21560862000.0,179856000000.0,,489740219900.0,,100622577486.707,11127050287100.0,45632022000.0,6713314388000,173194700.0,437150000000.0,2030207971200.0,18668500000.0,18734086133400.0,2592874000.0,18880411237000.0,,390671960900.0,219752076700.0,202911264700.0,,874862000000,77823460937.5,,2125175192000.0,5165457917600.0,123678641472.056,578180492000.0,1001438000000.0,1062871431700.0,,80460714000.0,12295496600.0,8414664000000.0,22314490000.0,159881000000,6947443082200,,,1214275000000.0,,,89555417000.0,72760956436000,8381500000.0,,,409825600000.0,22629809906700.0,3255930000000,620072314278.691,1360190935.14963,6480423151600,781209400000,4049951000.0,8607036000000.0,14018995440.0,,,3725443300000.0,,,,85347444000.0,37654768000.0,2032877000000,25152533200,,16739359300.0,,,1903015700000.0,,7079139000000,,,1186350849.09248,575594000.0,,40431000000.0,404184244800.0,,22743058776900.0,30346908147600.0,1737260357000.0,431196270700,3245332776000.0,44176073690900.0,,,,,5431018507200000.0,43813000000.0,1043578740.0441,4441192900.0,,1170833320663.72,,59546189700.0
2020,,,177443080257.303,584102903800.0,,983130830000.0,136565764500,1952289003975.48,745000000.0,,383058000000,181089750000.0,,905233084769.91,353305200000.0,2214684470700,,4194697000000.0,67750610000.0,8272030000.0,4011070000.0,16185550000.0,46591664000.0,1905000000.0,1447200000.0,11327181844.2174,431229672500.0,,8741686600.0,28064250700.0,89547862383.7156,264666398500.0,661076702000,365359557000.0,,48178238347317.3,,8914437099600.0,4301868259200,7441274025100.0,1317554000000,160786000000000,144766883200.0,85385770200.0,10014631963248.7,8648000000.0,,,17649791000.0,3718555000000.0,1280623570000.0,549791798300.0,,1116667520000.0,683792876730.259,3999898908700,18224141000.0,841300000000,,323809000000.0,18549388000.0,340886056300.0,85353000000.0,,677812806000,,,3949791795600,538022467000.0,21324484400.0,23934968500.0,,30697234572300.0,28139000000.0,198515969900.0,1880028000000.0,66151337000,,9125000000.0,165341008000,3377000000.0,,4665920000000.0,114449500000,181706068706.672,231167516100.0,34822054000000.0,1704165014203800,,28628712680800,422063112000.0,1035324364575010,51330354438100.0,947130708000.0,385548882000.0,439946700000.0,332721161000.0,11802214675.8701,96180800000000.0,5395966501289.0,1730361000000,186322835000.0,71592479290900.0,169811700.0,,663103300000000,,,21726011486400.0,,16500424900.0,,,2842981079000.0,21761380900.0,32356247000.0,98405749000.0,18707903000.0,121042000000.0,,480304515338.501,,84433409573.9641,10360040541600.0,33752569100.0,5908267565000,188770600.0,383698000000.0,1779865799200.0,17284100000.0,24048891057000.0,2280622000.0,16623859761600.0,,380083117200.0,175605949600.0,188486490900.0,,743087000000,67299023437.5,,1987747918700.0,3576131834200.0,104353763204.196,555829791000.0,979104000000.0,913727973200.0,,68574931000.0,11969126400.0,7349952000000.0,17816540000.0,127771000000,6150890041000,,,1045655000000.0,,,79029983000.0,59930140961200,7189100000.0,,222382438800.0,357528300000.0,19358263393200.0,3142828000000,600051898876.09,1114656800.0,5998111739400,726178600000,3865100000.0,5870072000000.0,11074787008.0,1625351748.8252,,3165891500000.0,,,,76142502000.0,32023448000.0,1855480000000,21992701200,,14632859600.0,158362000000.0,,1810671499000.0,1362196000000.0,6006415000000,,,1082787828.47175,661584000.0,,36471000000.0,394778064200.0,,20073308717500.0,25532879030000.0,1541491000000.0,356691282100,2843437698000.0,35890365006000.0,,,,3778000000.0,4688784000000000.0,43077000000.0,1125292420.66341,3379086300.0,,1069309867360.75,,38468182600.0
2019,,,220700348578.735,728211529800.0,,1050665193000.0,167483861600,2850056940100.0,628000000.0,,411819000000,199502540000.0,,875588207277.3,374171800000.0,2761204238900,3212431108300.0,4734932000000.0,70800232000.0,8330470000.0,5405830000.0,18695390000.0,53265978600.0,2472000000.0,1838400000.0,15095466867.8582,478297061600.0,,8925103300.0,32030402500.0,85157595624.7796,262034105700.0,741601519000,377333514000.0,,55189344373014.0,,8794776000000.0,5186229636200,6641369108700.0,2069811897200,202250000000000,159567143700.0,110281046200.0,11150876734468.4,9360000000.0,,,17099201000.0,4050531000000.0,1399629570000.0,780280184300.0,,1157791796000.0,800905448214.917,4756122364700,21151365000.0,1024600000000,,380295000000.0,18469357000.0,347803715200.0,90767000000.0,,777195924000,,,4202386033000,640877962000.0,25566717900.0,52604300400.0,,32902810189400.0,24046644700.0,204655639100.0,2108334000000.0,71337459000,,9384000000.0,175317512200,3469000000.0,,5010188488206.1,140426100000,207384808218.509,282873284100.0,36218151000000.0,2046244202211400,,33215857123100,430995060000.0,1472941686943320,67487725024900.0,1207148823000.0,419752910000.0,500584100000.0,453917000000.0,14311449322.8573,103603500000000.0,5929633517900.0,1906360500000,258616068100.0,78543902529400.0,207426200.0,,684516800000000,14355386800.0,,40259092259800.0,,16035003700.0,,,3556741726400.0,21880273400.0,33865126000.0,98813270000.0,18769580000.0,142539000000.0,,545102551070.418,,88914414974.1527,12420095342000.0,57296957500.0,6851272144000,267189200.0,430650000000.0,1833023480200.0,17313400000.0,22795157400000.0,2853556000.0,19672539281800.0,782000000.0,489631531300.0,171975530500.0,266089380600.0,,806952000000,82053890625.0,,1935550979200.0,9396781717200.0,103951737470.314,583578846000.0,1111806000000.0,1154397888200.0,,81548744000.0,13141000000.0,7741968000000.0,27002537000.0,151116000000,7840964590900,,,1071504000000.0,,,89614021000.0,70659642053000,8376100000.0,,244031461300.0,377083900000.0,21973057200000.0,3254344000000,747755203244.799,1159892600.0,5603146676100,743161500000,6140000000.0,5461025000000.0,12385639868.0,1790918524.70592,,3284603900000.0,,,,82905795000.0,35422015000.0,1974941000000,22290002000,,22238621700.0,179492000000.0,,1778655700000.0,1351797000000.0,6995499000000,,,974075139.632596,692353000.0,,43707000000.0,369960708300.0,,21719228351400.0,25420690413900.0,1646063000000.0,405428485300,3123207283000.0,42240472204600.0,,,,4227000000.0,4539710000000000.0,52855000000.0,1147314881.42712,3595807500.0,,1294554991509.31,,54155627300.0
2018,,,294457651469.062,711911285300.0,,1111763000000.0,206000190000,2553814462500.0,664000000.0,,410903000000,195423800000.0,,747726906300.0,366990800000.0,2670566598800,2958106699100.0,4711118000000.0,67287797000.0,8821640000.0,5650980000.0,18442577600.0,55073258900.0,2347000000.0,1816353900.0,14868768631.6334,472007253100.0,,7845138300.0,34150310300.0,76074873693.7363,249750462300.0,738963078000,376286006000.0,,56163660654370.0,,8687836000000.0,4657334234500,7838735760300.0,2005142558600,188413000000000,150958568300.0,109382265400.0,11413084295745.4,9636000000.0,,,15614804000.0,3988896000000.0,1360714600000.0,709013333300.0,,1123953127000.0,756907330043.659,5108616933100,21083169000.0,1124900000000,,375459000000.0,17789656000.0,367116228100.0,88672000000.0,,759393310000,,,3349735911600,624619146000.0,23977900000.0,45395039900.0,,34204820635200.0,24452384900.0,179365136900.0,2375295000000.0,69326397000,,8198000000.0,166922882600,3186000000.0,,5399288006605.98,143845400000,194553969622.17,271579354000.0,33471469000000.0,2203269940299100,,33498605710600,302827770000.0,2181063658471100,52570525271200.0,1319625793000.0,406892778000.0,504112700000.0,435699000000.0,14781517518.9361,102589600000000.0,5160690616100.0,1871835100000,243693325200.0,70724654007600.0,181935000.0,,697841100000000,16025004800.0,,44506728979300.0,,15813613100.0,,,3685940492600.0,22186890600.0,31946723000.0,93502971000.0,18206264000.0,148694000000.0,,533733758463.982,,83730118174.967,11879397152500.0,57444324600.0,6901528415000,195990000.0,391206000000.0,1730900359000.0,16039300000.0,24703769200000.0,2778011000.0,18108585362700.0,801000000.0,497000875000.0,153672567000.0,259978743400.0,,826694000000,85458234375.0,,1821848061600.0,7384074776500.0,107611945952.393,565301647000.0,1057823000000.0,1090956373000.0,,80713024000.0,13601400000.0,7194340000000.0,27693524000.0,148652000000,7662209490800,,,1038356000000.0,,,85393372000.0,72137308547300,8256800000.0,,239552000000.0,347378600000.0,21306100000000.0,2756861000000,682377357393.679,1170426400.0,5244383119700,742724000000,5680900000.0,5874252000000.0,11882140736.0,1750071122.73293,,2968026300000.0,,,,81136449000.0,33841953000.0,1933770000000,21954861300,1953109400.0,21805796300.0,183494000000.0,,1710245900000.0,1332495000000.0,7376626000000,,,920343921.839446,660559000.0,,47707000000.0,389613786500.0,,22025702902300.0,23736783743500.0,1556629000000.0,399558927600,3087859958000.0,37296009003700.0,,,,4184000000.0,4329537000000000.0,51643000000.0,1038749949.32387,3440849400.0,85699022300.0,1288955248998.75,,55315670400.0
2017,,,350442442670.649,695246476700.0,,1002166000000.0,215619712000,2254028651800.0,668000000.0,,384176000000,185503640000.0,,628342043700.0,359876400000.0,2547310250000,2726333432400.0,3801282000000.0,63621379000.0,8344000000.0,5690560000.0,17752097300.0,43967500000.0,2346000000.0,1737952300.0,14586840560.2968,438087134700.0,,6125545300.0,32044390500.0,65628907894.744,264100000000.0,714987594000,373482783000.0,,51714072645248.2,,7659396000000.0,4293662000000,6392078816079.52,1908378442200,178075000000000,134650084000.0,103469178600.0,11096182002464.9,9836000000.0,,,14967678000.0,3770811000000.0,1308470970000.0,730043002300.0,,1069489491000.0,697445534281.569,5310412612400,20193796000.0,1017000000000,,361293000000.0,16794194000.0,393027522900.0,83866000000.0,,736708893000,,,2214835809200,604446962000.0,21745800000.0,43248901600.0,,36248771047000.0,20791455800.0,216709638200.0,2236684000000.0,64132056000,,8004000000.0,160615731000,3098000000.0,,5168285231623.79,137623300000,180976771881.984,262869737500.0,31292420000000.0,1964819168807400,,30782738078000,295537576000.0,2958745600822000,45078664521300.0,1308038919000.0,379734721000.0,487356600000.0,410989000000.0,15852593907.1987,98821000000000.0,4841173185800.0,1845374500000,226845696600.0,60496653195200.0,199912100.0,,686089200000000,15782400000.0,,43936865748300.0,,12774181400.0,,,3569488529500.0,22043023400.0,30131321000.0,90157059000.0,17120616000.0,141725000000.0,,509290868150.694,,76305593718.5144,10688868667800.0,50922440400.0,6484579207000,191587200.0,353287000000.0,1969169919200.0,16009300000.0,25267412700000.0,2543091000.0,13645816619400.0,1067000000.0,346502015600.0,112032824200.0,260559700900.0,,814571000000,84409500000.0,,1665846818400.0,4950382667100.0,126748291297.837,539805600000.0,1043252000000.0,916469945500.0,,77654349000.0,14223400000.0,6216310000000.0,26490777000.0,143608000000,6683447485700,,,965701000000.0,,,81351098000.0,66612267814900,7901500000.0,,229016370500.0,319794500000.0,20754700000000.0,2550399000000,664991531258.318,1142994500.0,4810709519800,692764400000,4802700000.0,6640707000000.0,11581576984.0,1733546213.16554,,2678974400000.0,,,,77442314000.0,31602373000.0,1862549000000,20958347700,1815157500.0,21143910400.0,195692000000.0,,1686633000000.0,1266000000000.0,6812906000000,,,894257479.546429,669732000.0,,46549000000.0,415286521700.0,,18879442635300.0,21894516932900.0,1514481000000.0,399637232100,2963252796000.0,26207998321200.0,,,,4054000000.0,3951330000000000.0,46784000000.0,955121295.392469,3102632800.0,66119068100.0,1248435560600.0,,63143709000.0
2016,,,315052301600.0,641632858000.0,,973421898300.0,186548391900,1809011759100.0,755000000.0,,365022000000,176184840000.0,,556227016500.0,342025700000.0,2228165000000,2476078000000.0,3614616000000.0,59262332000.0,7754490000.0,5267630000.0,16490388400.0,39558500000.0,2397000000.0,1796441600.0,13815823000.0,410513206000.0,,6047762000.0,32172258500.0,75391233083.4613,227505000000.0,683365606000,374934574000.0,,49508659211982.2,,6902400000000.0,4346095000000,4608951139607.9,2913779528900,176279000000000,121545696300.0,88911070600.0,10566529105848.6,9996000000.0,,,13094809000.0,3548980000000.0,1243493690000.0,485538812900.0,,1026547450000.0,718835434034.712,5716267612900,17992197000.0,666850129600,,338330000000.0,16149669000.0,424750000000.0,80398000000.0,,705073365000,,,2388797057900,584900150000.0,20117900000.0,40167596300.0,,44006844553400.0,17459782100.0,182690987900.0,2064701788000.0,59727661000,,8295000000.0,156203338000,3190000000.0,,4846750789644.0,128424800000,166890369574.158,238105510300.0,28868466000000.0,1818133162520500,,26215927811500,292092121000.0,2770273365000000,40813881444100.0,1169661110000.0,363755000000.0,459374400000.0,388316000000.0,15532213333.1703,95657800000000.0,4793240778000.0,1641477800000,211127831000.0,58136304681200.0,207742200.0,,630266600000000,14450900000.0,62222001830600.0,43037339886300.0,,10028191100.0,,,3344405408000.0,21998841800.0,27110988000.0,89482783000.0,15771828000.0,131457000000.0,,486664797122.825,,68743665725.0249,8642735436600.0,47053905100.0,6096797508000,172762900.0,335702000000.0,2295069835900.0,15316200000.0,22962260100000.0,2345433000.0,12236675525500.0,1124000000.0,397808796900.0,97633257400.0,254944213000.0,,739230000000,93894132812.5,,1493142000000.0,4725827858900.0,122698307827.098,508340000000.0,1024015000000.0,714625564100.0,,72420552000.0,12499600000.0,5224509000000.0,25399376000.0,134089000000,5804373191400,,,878910000000.0,,,75253873000.0,59313665533500,7796300000.0,,237251939600.0,286896400000.0,17691400000000.0,2411362000000,662724292533.714,902910600.0,4121811105000,641021300000,4947400000.0,6247825982800.0,11421422576.0,1735470354.91723,,2411571900000.0,,,,74407977000.0,28555059000.0,1778450000000,19566664100,1985949100.0,18912318600.0,149078000000.0,,1708848000000.0,1428817000000.0,6413521000000,,,980560349.272082,647110000.0,,44696000000.0,375366055700.0,,20331252118700.0,21378433514100.0,1341115000000.0,373229587300,2835422080000.0,23043534702000.0,,,,3192000000.0,3342662000000000.0,45308000000.0,971083048.745588,2942049100.0,103981955800.0,1229592902700.0,,61157372500.0
2015,,,418612412200.0,600104872000.0,,948264235800.0,176281471600,1701798456300.0,780000000.0,,366214000000,169856430000.0,,628207526600.0,318306800000.0,2156915000000,2307161000000.0,3890527738400.0,56359012000.0,8006980000.0,4936500000.0,15383574400.0,40120230000.0,2414000000.0,1691981000.0,14420423514.5791,457870437800.0,,5888000000.0,34454708000.0,95337364967.2958,216193000000.0,683019000000,356111039000.0,,48936381055194.2,,6869095000000.0,4301754137800,4794238196100.0,3203014641500,182750000000000,115691706500.0,82813080000.0,9699542268319.38,11187000000.0,,,11886640000.0,3451313000000.0,1190060000000.0,520458531200.0,,990281130000.0,664831508130.312,5880933758100,19907351000.0,682009559300,,329598000000.0,15164400000.0,424546308600.0,76047000000.0,,685011000000,,,2556336665400,562520000000.0,19650600000.0,40611824900.0,,25741349913600.0,17196834000.0,159359513100.0,2466389000000.0,58467215000,,7473000000.0,154745088000,3202000000.0,,4805381958447.22,130474800000,156745075953.349,195664986500.0,27900140000000.0,1862938951004200,,25115397729500,245445271000.0,2615477136486900,52523807964800.0,1020620275000.0,330693927000.0,442016100000.0,389492000000.0,15911990964.5188,96795500000000.0,4891062018400.0,1772842000000,213376065200.0,53525687429500.0,197001500.0,,599257200000000,13867900000.0,59512971373600.0,40629809885000.0,,17158234500.0,,,3125930563500.0,21693111300.0,26057840000.0,86246809000.0,15229105000.0,146909000000.0,,423779000000.0,,66865335447.6471,8243669759200.0,42906452100.0,5927667270000,172487700.0,302091000000.0,2070584260600.0,14480400000.0,18834029577300.0,2033878000.0,10410168323700.0,701000000.0,368482015600.0,100576600000.0,248413610400.0,,728778000000,90338828125.0,,1743847000000.0,5272084697100.0,117901814867.971,518594000000.0,997358000000.0,692794838700.0,,68846000000.0,14199000000.0,4503038554200.0,26690685000.0,132018000000,4885294287400,,,815939000000.0,,,71662022000.0,58768172733800,7645500000.0,,,246076500000.0,18365800000000.0,2240385000000,810410082575.649,710953200.0,3861247000000,639768100000,4751800000.0,5041532377600.0,11480657768.0,1690746659.36589,,2253240000000.0,4741828200.0,,,70981709000.0,26865505000.0,1702358000000,18075826200,1970187600.0,17708636900.0,152906000000.0,,1907199000000.0,1414670549300.0,6477761000000,,,906884210.63221,553531000.0,,43867000000.0,364447461800.0,,22316225576300.0,23420236696600.0,1226994000000.0,397932322900,2794850000000.0,23340184953800.0,,,,1903000000.0,3003390000000000.0,44279000000.0,940721252.726835,2732845200.0,117305767000.0,1282606203400.0,,63228893200.0
2014,,,550156629600.0,617869907400.0,,1005815222400.0,168349967900,2009207150300.0,753000000.0,,360736000000,163906300000.0,14651198900.0,641517312000.0,306318500000.0,2177993031700,2075337305500.0,3769792401800.0,53830302000.0,8488160000.0,5248060000.0,15114211900.0,44891050000.0,2208000000.0,1717556600.0,15244475400.0,533590299500.0,,6669000000.0,30361501900.0,90080199044.8122,195922000000.0,677925453000,339309894000.0,,49357984744749.2,,6028900854600.0,4306465039700,5125888705700.0,2581951018700,184747000000000,114519555100.0,81312393100.0,9282034462228.5,10158000000.0,,,10999805000.0,3230119000000.0,1124844710000.0,537843529800.0,,947086737000.0,598817916243.97,5501341214300,21675365000.0,675583279300,,313673000000.0,15456070000.0,348412785200.0,74583000000.0,,646858914000,,,2863748157300,535971280000.0,18331000000.0,37627116500.0,,23522101537000.0,16180053600.0,137700168700.0,2917173766500.0,54211152000,,7346000000.0,149298727000,3323000000.0,,4892573541390.43,120290200000,143319106563.636,198438927200.0,26401342000000.0,1987113919438000,,26675952609600,185445564000.0,3339332679115100,61128133003500.0,898893101000.0,331397152000.0,415180200000.0,397315000000.0,17239231999.2565,96371500000000.0,4895957976400.0,1859000000000,245804763800.0,50258442471400.0,165852100.0,,586858900000000,12980500000.0,57197612038300.0,37365898215600.0,,27467606400.0,,,2826414949400.0,20194009800.0,23829081000.0,81589941000.0,14981589000.0,146575000000.0,,418213000000.0,,70962451339.8953,7737208555200.0,42471000000.0,5596268935000,173003800.0,274765000000.0,1843797204500.0,12141300000.0,13963182069000.0,1948273000.0,11755441462600.0,556000000.0,445364312500.0,108210600000.0,228836700300.0,,722971567200,90000265625.0,,1624224689900.0,7093630910300.0,105267918205.451,452806048000.0,978430000000.0,632207933800.0,,67315255000.0,14248800000.0,4576600937600.0,26725862000.0,130747000000,4247751757100,,,772832000000.0,,,66323086000.0,60573280147000,6929400000.0,,,226782200000.0,24500400000000.0,1821229000000,819855481266.232,654644700.0,3583943000000,618846500000,4715200000.0,6168716324900.0,10969480000.0,,,2167347500000.0,8036997000.0,,,65409881000.0,25753341000.0,1605077000000,17583300800,2174600000.0,17196194500.0,155374000000.0,,2438878400000.0,1260592818300.0,6477507000000,,,979178421.699472,451374000.0,,47716915000.0,362049244600.0,,23545813143600.0,20515778945900.0,1472487000000.0,429106133800,2657045734000.0,26098070493200.0,,22549601000.0,,3134000000.0,2595318000000000.0,35090000000.0,980118167.61406,2813692600.0,103389378200.0,1221008040900.0,,35009304800.0
2013,,,580079951000.0,592630988200.0,,915502779500.0,190182962300,2064961100000.0,673000000.0,,371556000000,159199380000.0,14069987100.0,677479041400.0,290271500000.0,1898998017900,2278205033100.0,3726257644400.0,51198858000.0,9165170000.0,4870950000.0,14049850200.0,44007801700.0,2135000000.0,,13246528400.0,545994729700.0,,9651000000.0,31388717700.0,91284886355.5304,123267000000.0,661191321000,363924876000.0,,52835233621607.1,,6115157935600.0,3737464549100,4717353330800.0,2226918933300,171443000000000,108634677100.0,73222482400.0,8836138385682.45,10315000000.0,,,10211591000.0,2936009000000.0,1082359570000.0,695091935600.0,,911565708000.0,571520598408.049,5075038020600,20691563000.0,674924173700,,293702000000.0,14999067000.0,289897154500.0,75258000000.0,,616651110000,,,2654871090000,510803954000.0,16006000000.0,43963661600.0,,24748623105900.0,13099323100.0,105553495300.0,3091632265400.0,50785174000,,8297000000.0,144431121000,3251000000.0,,4842052268101.43,116374800000,138461285805.678,183568643900.0,23806208000000.0,1945867324036400,,26445550835000,161729223000.0,3291910033963100,59264228326000.0,817024936000.0,324021071000.0,401325300000.0,397803000000.0,17128039230.8652,89129800000000.0,5099956225400.0,1669000000000,241953133600.0,45633438951100.0,148399900.0,,579538300000000,12024300000.0,55806359496100.0,37258723539800.0,,30124424500.0,,,2579630957600.0,20392300800.0,24234286000.0,75381403000.0,14555310000.0,127306000000.0,,360350205300.0,,68834906618.4388,7232950117400.0,,5283448560000,185349900.0,240712000000.0,1728624582000.0,12033200000.0,10782222629100.0,1918223000.0,11006046672500.0,523000000.0,398439281300.0,127239663400.0,220982420500.0,,695238407600,76353531250.0,,1547034083200.0,6694047334300.0,102110311212.246,438482424000.0,959224000000.0,522447673200.0,,62665805000.0,15487100000.0,4564990460800.0,27824621000.0,132055000000,3865167912200,,,706638000000.0,,,61455353000.0,59337250893800,6660800000.0,,,208363600000.0,26418500000000.0,1589619000000,768854749704.31,523715700.0,3228323625900,602175200000,4816600000.0,6247393914600.0,11252492584.0,,,2062370500000.0,7647000000.0,,,62575908000.0,24725500000.0,1508764000000,17532634800,1983600000.0,14710608300.0,181665000000.0,,2235249200000.0,1331813759000.0,6839908000000,3353323800.0,,877648801.563748,492594000.0,,44337631000.0,360968811200.0,,22796324794000.0,21931855091200.0,1926622000000.0,425883360200,2526658530000.0,27597744470700.0,,27679128000.0,,2830000000.0,2287942000000000.0,35020000000.0,,2676021800.0,110158021100.0,1229454881900.0,,34864081400.0
2012,,,555745790200.0,596470044600.0,,847482454500.0,183074401200,2064961100000.0,646000000.0,,368982000000,158102070000.0,12790897400.0,603112123700.0,290893600000.0,1452155251300,2036425925800.0,3681412461600.0,49071158000.0,8889750000.0,4944670000.0,14057736900.0,45937160600.0,1960000000.0,,12244967000.0,511855602500.0,,8427000000.0,31959209700.0,79858945480.3636,201088000000.0,647735519000,324155225000.0,,51871421769068.1,,6782287038700.0,3338143106700,4367228621100.0,2322431848800,157977000000000,105368261000.0,78193505000.0,8690089358735.02,9724000000.0,,,10699009000.0,2934200000000.0,1054155150000.0,,,898354025000.0,584292474925.65,4622074700000,19344062000.0,670969539900,,294333000000.0,14640952000.0,278177001100.0,75164000000.0,,602089685000,,,2588972199200,493610564000.0,15594100000.0,42986548000.0,,22804663579800.0,12993000000.0,107079995600.0,3754870000000.0,52614923000,,8886000000.0,138531371000,3037000000.0,,4472216810975.21,121345700000,134175252779.141,174435819200.0,22865096000000.0,1910299521014600,,28790791394500,159993436000.0,4029087362580200,58449918604500.0,816160931000.0,320916334000.0,412470800000.0,388238000000.0,16362561010.1868,86392000000000.0,4730942695200.0,1636000000000,232436703400.0,39643416871800.0,135785900.0,,570187700000000,12034500000.0,49217599456800.0,34242703160900.0,,21886412100.0,,,2619706990400.0,22159457800.0,22903287000.0,70960944000.0,14573869000.0,113684000000.0,,360607784100.0,,65190842823.4667,6519654122800.0,,5173850440000,166223700.0,235604000000.0,1387699413000.0,12185000000.0,10523417397900.0,1979947000.0,10232637020700.0,478000000.0,360848421900.0,133494290900.0,222154689900.0,,683456339400,71429526900.0,,1463702380400.0,5965333740700.0,99764900170.7305,428897841000.0,913780000000.0,457745715800.0,,57955388000.0,13341500000.0,4483828706200.0,28045127000.0,128375000000,3612085816300,,,694098000000.0,,,58707492000.0,56530310276700,7057600000.0,,,191004800000.0,25515500000000.0,1457103000000,741743426902.607,418972600.0,3024050608100,565356000000,4787000000.0,5212346153300.0,10742411764.0,,,1936919300000.0,6910000000.0,,,59214771000.0,24214224000.0,1511785000000,15692051800,1805700000.0,14448360700.0,223132000000.0,,2372876000000.0,1128005741500.0,6726854000000,3316838300.0,,1203411410.28594,480982000.0,,45107233200.0,325429490400.0,,20548433852800.0,21728067005000.0,1996423000000.0,414228009300,2496377306000.0,26749159029500.0,,30648106000.0,,3149000000.0,1907910000000000.0,32896000000.0,,2733703100.0,127205858500.0,1181728067500.0,,46194960300.0
